Timothy St. Clair,Ilya Dmitrichenko,Caleb Miles,Doug Davis,Phillip Whitrock,Kris Nova,Derek Carr,Aaron Crickenberger,Jaice Singer DuMars,Michelle Noorali,Ihor Dvoretskyi,Alex Pollitt,Michael Rubin,Quinton Hoole,Rob Hirschfeld,Aaron Schlesinger,Sebastien Goasguen,Matt Farina,Adnan Abdulhussein,Justin Santa Barbara
2,No opinion,No opinion,No opinion,No opinion,No opinion,1,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion
6,14,8,20,3,13,1,7,12,2,18,9,4,5,19,16,10,15,11,17
8,2,4,10,6,18,20,3,9,16,17,5,14,7,12,13,1,11,15,19
5,7,20,20,2,20,3,5,20,20,20,20,1,20,20,20,20,20,20,3
No opinion,No opinion,20,No opinion,No opinion,No opinion,20,No opinion,20,No opinion,No opinion,No opinion,20,1,No opinion,No opinion,No opinion,No opinion,No opinion,20
20,14,13,16,1,12,3,17,8,4,19,10,2,18,18,11,7,15,6,5
6,20,4,5,11,7,8,9,3,15,10,1,2,16,12,13,19,17,14,18
1,No opinion,No opinion,No opinion,No opinion,2,4,5,No opinion,No opinion,No opinion,3,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion
4,No opinion,No opinion,No opinion,3,No opinion,1,No opinion,No opinion,2,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion
19,17,19,6,20,19,20,1,19,19,16,17,20,3,17,2,17,18,17,16
20,7,12,16,8,2,20,4,5,10,16,16,3,6,20,16,9,11,16,1
3,4,5,20,20,20,2,20,20,3,20,20,20,1,20,20,20,3,2,4
13,7,5,20,1,9,3,4,2,6,8,5,1,11,10,10,20,20,20,12
7,20,20,1,20,5,4,8,20,20,6,7,2,10,9,20,20,20,20,3
